English,Japanese,context
legality,	合法,Try to use the word 'legality' in a short sentence.
legally,	法的,Try to use the word 'legally' in a short sentence.
legislate,制定する,Try to use the word 'legislate' in a short sentence.
legislated,	制定,I legislated the report.
legislates,	立法府,We found several legislates.
legislating,	立法,They are legislating the results.
legislation,	法制,Try to use the word 'legislation' in a short sentence.
legislative,	立法権,Try to use the word 'legislative' in a short sentence.
legislator,	立法者,She is an legislator.
legislators,	議員,We found several legislators.
legislature,	立法府,Try to use the word 'legislature' in a short sentence.
major,少佐,She is an major.
majorities,	大半,We found several majorities.
majority,	過半数,Try to use the word 'majority' in a short sentence.
method,方式,Try to use the word 'method' in a short sentence.
methodical,	几帳面,Try to use the word 'methodical' in a short sentence.
methodological,	方法論,Try to use the word 'methodological' in a short sentence.
methodologies,	方法,We found several methodologies.
methodology,	方法論,Try to use the word 'methodology' in a short sentence.
methods,	メソッド,We found several methods.
occur,起る,Try to use the word 'occur' in a short sentence.
occurred,	発生,I occurred the report.
occurrence,	発生,Try to use the word 'occurrence' in a short sentence.
occurrences,	発生,We found several occurrences.
occurring,	発生,They are occurring the results.
occurs,	発生,We found several occurs.
reoccur,	再発,Try to use the word 'reoccur' in a short sentence.
reoccurred,	再発,I reoccurred the report.
reoccurring,	再発,They are reoccurring the results.
reoccurs,	再発,We found several reoccurs.
percent,パーセント,Try to use the word 'percent' in a short sentence.
percentage,	百分率,Try to use the word 'percentage' in a short sentence.
percentages,	割合,We found several percentages.
period,時代,Try to use the word 'period' in a short sentence.
periodic,	周期的,Try to use the word 'periodic' in a short sentence.
periodical,	定期刊行物,Try to use the word 'periodical' in a short sentence.
periodically,	定期的,Try to use the word 'periodically' in a short sentence.
periodicals,	雑誌,We found several periodicals.
periods,	期間,We found several periods.
policy,政策,Try to use the word 'policy' in a short sentence.
policies,	檄,We found several policies.
principle,原理,Try to use the word 'principle' in a short sentence.
principled,	原則,I principled the report.
principles,	原則,We found several principles.
unprincipled,	無節操,I unprincipled the report.
proceed,進む,I proceed the report.
procedural,	手続き型,Try to use the word 'procedural' in a short sentence.
procedure,	プロシージャ,Try to use the word 'procedure' in a short sentence.
procedures,	手続き,We found several procedures.
proceeded,	進んだ,I proceeded the report.
proceeding,	行程,They are proceeding the results.
proceedings,	議事,We found several proceedings.
proceeds,	収益,We found several proceeds.
process,過程,Try to use the word 'process' in a short sentence.
processed,	処理,I processed the report.
processes,	プロセス,We found several processes.
processing,	加工,They are processing the results.
require,要する,Try to use the word 'require' in a short sentence.
required,	必須,I required the report.
requirement,	要件,Try to use the word 'requirement' in a short sentence.
requirements,	必要条件,We found several requirements.
requires,	必要,We found several requires.
requiring,	必要,They are requiring the results.
research,研究,Try to use the word 'research' in a short sentence.
researched,	研究,I researched the report.
researcher,	研究員,She is an researcher.
researchers,	研究,We found several researchers.
researches,	研究,We found several researches.
researching,	研究,They are researching the results.
respond,応じる,He didn't respond to my question.
responded,	答えた,I responded the report.
respondent,	回答者,Try to use the word 'respondent' in a short sentence.
respondents,	回答,We found several respondents.
responding,	応答,They are responding the results.
responds,	応答,We found several responds.
response,	応答,Try to use the word 'response' in a short sentence.
responses,	応答,We found several responses.
responsive,	応答,Try to use the word 'responsive' in a short sentence.
responsiveness,	応答,Try to use the word 'responsiveness' in a short sentence.
unresponsive,	応答,Try to use the word 'unresponsive' in a short sentence.
role,役割,Try to use the word 'role' in a short sentence.
roles,	役割,We found several roles.
section,節,Try to use the word 'section' in a short sentence.
sectioned,	断面,I sectioned the report.
sectioning,	セクショニング,They are sectioning the results.
sections,	セクション,We found several sections.
sector,セクター,She is an sector.
sectors,	セクター,We found several sectors.
significant,重要な,Try to use the word 'significant' in a short sentence.
insignificant,	名も無い,Try to use the word 'insignificant' in a short sentence.
insignificantly,	取るに足らない,Try to use the word 'insignificantly' in a short sentence.
significance,	 意味,Try to use the word 'significance' in a short sentence.
significantly,	著しく,Try to use the word 'significantly' in a short sentence.
signified,	シニフィエ,I signified the report.
signifies,	意味,We found several signifies.
signify,	表す,Try to use the word 'signify' in a short sentence.
signifying,	意味,They are signifying the results.
similar,同じような,Try to use the word 'similar' in a short sentence.
dissimilar,	異種,Try to use the word 'dissimilar' in a short sentence.
similarities,	類似 点,We found several similarities.
similarity,	相似,Try to use the word 'similarity' in a short sentence.
similarly,	同じように,Try to use the word 'similarly' in a short sentence.
source,源,Try to use the word 'source' in a short sentence.
sourced,	出典,I sourced the report.
sources,	ソース,We found several sources.
sourcing,	ソーシング,They are sourcing the results.
specific,特定,Try to use the word 'specific' in a short sentence.
specifically,	具体的には,Try to use the word 'specifically' in a short sentence.
specification,	仕様,Try to use the word 'specification' in a short sentence.
specifications,	仕様,We found several specifications.
specificity,	特異 性,Try to use the word 'specificity' in a short sentence.
specifics,	詳細,We found several specifics.
structure,構造,Try to use the word 'structure' in a short sentence.
restructure,	再 構築,Try to use the word 'restructure' in a short sentence.
restructured,	再 構築,I restructured the report.
restructures,	再 構築,We found several restructures.
restructuring,	再 構築,They are restructuring the results.
structural,	構造,Try to use the word 'structural' in a short sentence.
structurally,	構造,Try to use the word 'structurally' in a short sentence.
structured,	構造,I structured the report.
structures,	構造,We found several structures.
structuring,	構造,They are structuring the results.
unstructured,	非構造化,I unstructured the report.
theory,理論,Try to use the word 'theory' in a short sentence.
theoretical,	理論,Try to use the word 'theoretical' in a short sentence.
theoretically,	理論上,Try to use the word 'theoretically' in a short sentence.
theories,	理論,We found several theories.
theorist,	理論家,Try to use the word 'theorist' in a short sentence.
theorists,	理論,We found several theorists.
vary,異なる,Try to use the word 'vary' in a short sentence.
invariable,	不変,Try to use the word 'invariable' in a short sentence.
invariably,	常に,Try to use the word 'invariably' in a short sentence.
variability,	可変,Try to use the word 'variability' in a short sentence.
variable,	変数,Try to use the word 'variable' in a short sentence.
variables,	変数,We found several variables.
variably,	常,Try to use the word 'variably' in a short sentence.
variance,	分散,Try to use the word 'variance' in a short sentence.
variant,	バリアント,Try to use the word 'variant' in a short sentence.
variants,	バリアント,We found several variants.
variation,	バリエーション,Try to use the word 'variation' in a short sentence.
variations,	バリエーション,We found several variations.
varied,	変化,I varied the report.
varies,	異なります,We found several varies.
varying,	変化,They are varying the results.
Sublist 2 of the Academic Word List,,Try to use the word 'Sublist 2 of the Academic Word List' in a short sentence.
achieve,,Try to use the word 'achieve' in a short sentence.
achievable,,Try to use the word 'achievable' in a short sentence.
achieved,,I achieved the report.
achievement,,Try to use the word 'achievement' in a short sentence.
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,Try to use the word 'acquire' in a short sentence.
acquired,	達成,I acquired the report.
acquires,	達成,We found several acquires.
acquiring,	達成,They are acquiring the results.
acquisition,	実績,Try to use the word 'acquisition' in a short sentence.
acquisitions,	実現,We found several acquisitions.
administrate,	達成,Try to use the word 'administrate' in a short sentence.
administrates,取得する,We found several administrates.
administration,	後天性,Try to use the word 'administration' in a short sentence.
administrations,	取得,We found several administrations.
administrative,	取得,Try to use the word 'administrative' in a short sentence.
administratively,	取得,Try to use the word 'administratively' in a short sentence.
administrator,	買収,She is an administrator.
administrators,管理,We found several administrators.
affect,	管理者,Try to use the word 'affect' in a short sentence.
affected,	行政,I affected the report.
affecting,	政権,They are affecting the results.
affective,	行政,Try to use the word 'affective' in a short sentence.
affectively,	管理,Try to use the word 'affectively' in a short sentence.
affects,	管理者,We found several affects.
unaffected,	管理者,I unaffected the report.
appropriate,障る,Try to use the word 'appropriate' in a short sentence.
appropriacy,	影響,Try to use the word 'appropriacy' in a short sentence.
appropriately,	影響を与える,Try to use the word 'appropriately' in a short sentence.
appropriateness,	感情,Try to use the word 'appropriateness' in a short sentence.
inappropriacy,	感情的,Try to use the word 'inappropriacy' in a short sentence.
inappropriate,	影響,Try to use the word 'inappropriate' in a short sentence.
inappropriately,	影響,Try to use the word 'inappropriately' in a short sentence.
aspect,適切,Try to use the word 'aspect' in a short sentence.
aspects,	適切性,We found several aspects.
assist,	適当に,He asked his friend to assist him with the task.
assistance,	てきせつ,Try to use the word 'assistance' in a short sentence.
assistant,	不適切,Try to use the word 'assistant' in a short sentence.
assistants,	不適当,We found several assistants.
assisted,	不適切,I assisted the report.
assisting,アスペクト,They are assisting the results.
assists,	側面,We found several assists.
unassisted,手伝う,I unassisted the report.
category,	援助,Try to use the word 'category' in a short sentence.
categories,	助手,We found several categories.
categorisation,	アシスタント,Try to use the word 'categorisation' in a short sentence.
categorise,	支援,Try to use the word 'categorise' in a short sentence.
categorised,	支援,I categorised the report.
categorises,	アシスト,We found several categorises.
categorising,	自力,They are categorising the results.
categorization,カテゴリ,Try to use the word 'categorization' in a short sentence.
categorized,	カテゴリ,I categorized the report.
categorizes,	分類,We found several categorizes.
categorizing,	分類,They are categorizing the results.
chapter,	分類,She is an chapter.
chapters,	カテゴリ分け,We found several chapters.
commission,	分類,Try to use the word 'commission' in a short sentence.
commissioned,	分類,I commissioned the report.
commissioner,	分類,She is an commissioner.
commissioners,	分類,We found several commissioners.
commissioning,	分類,They are commissioning the results.
commissions,章,We found several commissions.
community,	章,Try to use the word 'community' in a short sentence.
communities,手数料,We found several communities.
complex,	委託,Try to use the word 'complex' in a short sentence.
complexities,	コミッショナー,We found several complexities.
complexity,	委員,Try to use the word 'complexity' in a short sentence.
compute,	試運転,Try to use the word 'compute' in a short sentence.
computation,	手数料,Try to use the word 'computation' in a short sentence.
computational,コミュニティ,Try to use the word 'computational' in a short sentence.
computations,	コミュニティ,We found several computations.
computable,コンプレックス,Try to use the word 'computable' in a short sentence.
computer,	複雑さ,She is an computer.
computed,	複雑さ,I computed the report.
computerised,計算する,I computerised the report.
computers,	計算,We found several computers.
computing,	計算,They are computing the results.
conclude,	計算,Try to use the word 'conclude' in a short sentence.
concluded,	計算可能,I concluded the report.
concludes,	コンピュータ,We found several concludes.
concluding,	計算,They are concluding the results.
conclusion,	コンピュータ化,Try to use the word 'conclusion' in a short sentence.
conclusions,	コンピューター,We found several conclusions.
conclusive,	コンピューティング,Try to use the word 'conclusive' in a short sentence.
conclusively,結論,Try to use the word 'conclusively' in a short sentence.
inconclusive,	締結,Try to use the word 'inconclusive' in a short sentence.
inconclusively,	結論,Try to use the word 'inconclusively' in a short sentence.
conduct,	締結,Try to use the word 'conduct' in a short sentence.
conducted,	結論,I conducted the report.
conducting,	結論,They are conducting the results.
conducts,	決定的,We found several conducts.
consequent,	決定的,Try to use the word 'consequent' in a short sentence.
consequence,	決定的,Try to use the word 'consequence' in a short sentence.
consequences,	結論が出ない,We found several consequences.
consequently,行為,Try to use the word 'consequently' in a short sentence.
construct,	実施,Try to use the word 'construct' in a short sentence.
constructed,	実施,I constructed the report.
constructing,	行って,They are constructing the results.
construction,後件,Try to use the word 'construction' in a short sentence.
constructions,	結果,We found several constructions.
constructive,	結果,Try to use the word 'constructive' in a short sentence.
constructs,	したがいまして,We found several constructs.
reconstruct,建てる,Try to use the word 'reconstruct' in a short sentence.
reconstructed,	構築,I reconstructed the report.
reconstructing,	構築,They are reconstructing the results.
reconstruction,	建設,Try to use the word 'reconstruction' in a short sentence.
reconstructs,	構造,We found several reconstructs.
consume,	建設的な,Try to use the word 'consume' in a short sentence.
consumed,	構築,I consumed the report.
consumer,	建て直す,She is an consumer.
consumers,	再 構築,We found several consumers.
consumes,	再 構築,We found several consumes.
consuming,	再建,They are consuming the results.
consumption,	再 構築,Try to use the word 'consumption' in a short sentence.
credit,使う,Try to use the word 'credit' in a short sentence.
credited,	消費,I credited the report.
crediting,	消費者,They are crediting the results.
creditor,	消費 者,She is an creditor.
creditors,	消費,We found several creditors.
credits,	消費,We found several credits.
culture,	消費,Try to use the word 'culture' in a short sentence.
cultural,信用,Try to use the word 'cultural' in a short sentence.
culturally,	入金,Try to use the word 'culturally' in a short sentence.
cultured,	クレジット,I cultured the report.
cultures,	債権者,We found several cultures.
uncultured,	債権 者,I uncultured the report.
design,	クレジット,Try to use the word 'design' in a short sentence.
designed,文化,I designed the report.
designer,	文化的な,She is an designer.
designers,	文化的,We found several designers.
designing,	彧,They are designing the results.
designs,	文化,We found several designs.
distinct,	無教養,Try to use the word 'distinct' in a short sentence.
distinction,設計,Try to use the word 'distinction' in a short sentence.
distinctions,	設計,We found several distinctions.
distinctive,	デザイナー,Try to use the word 'distinctive' in a short sentence.
distinctively,	デザイナー,Try to use the word 'distinctively' in a short sentence.
distinctly,	設計,Try to use the word 'distinctly' in a short sentence.
indistinct,	デザイン,Try to use the word 'indistinct' in a short sentence.
indistinctly,朖,Try to use the word 'indistinctly' in a short sentence.
element,	区別,Try to use the word 'element' in a short sentence.
elements,	区別,We found several elements.
equate,	独特,Try to use the word 'equate' in a short sentence.
equated,	独特,I equated the report.
equates,	はっきり,We found several equates.
equating,	不明,They are equating the results.
equation,	ぼうっと,Try to use the word 'equation' in a short sentence.
equations,要素,We found several equations.
evaluate,	元素,Please evaluate the quality of the service.
evaluated,同一視,I evaluated the report.
evaluates,	同一視,We found several evaluates.
evaluating,	相当,They are evaluating the results.
evaluation,	一致,Try to use the word 'evaluation' in a short sentence.
evaluations,	方程式,We found several evaluations.
evaluative,	方程式,Try to use the word 'evaluative' in a short sentence.
re-evaluate,評,Try to use the word 're-evaluate' in a short sentence.
re-evaluated,	評価,I re-evaluated the report.
re-evaluates,	評価,We found several re-evaluates.
re-evaluating,	評価,They are re-evaluating the results.
re-evaluation,	評価,Try to use the word 're-evaluation' in a short sentence.
feature,	評価,Try to use the word 'feature' in a short sentence.
featured,	評価,I featured the report.
features,	再評価,We found several features.
featuring,	再評価,They are featuring the results.
final,	再評価,Try to use the word 'final' in a short sentence.
finalise,	再評価,Try to use the word 'finalise' in a short sentence.
finalised,	再評価,I finalised the report.
finalises,特徴,We found several finalises.
finalising,	注目,They are finalising the results.
finalize,	顔立ち,Try to use the word 'finalize' in a short sentence.
finalized,	特徴,I finalized the report.
finalizes,最終的な,We found several finalizes.
finalizing,	終了,They are finalizing the results.
finality,	最終版,Try to use the word 'finality' in a short sentence.
finally,	確定,Try to use the word 'finally' in a short sentence.
