English,Japanese,context
functionally,	機能的,"The concept of 'functionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
functioned,	作用,I functioned the report.
functioning,	機能,They are functioning the results.
functions,	関数,We found several functions.
identify,識別する,"The concept of 'identify' plays an important role in many real-life situations, helping us better understand and use it effectively."
identifiable,	識別,"The concept of 'identifiable' plays an important role in many real-life situations, helping us better understand and use it effectively."
identification,	識別,"The concept of 'identification' plays an important role in many real-life situations, helping us better understand and use it effectively."
identified,	識別,I identified the report.
identifies,	識別,We found several identifies.
identifying,	判明,They are identifying the results.
identities,	アイデンティティ,We found several identities.
identity,	同一性,"The concept of 'identity' plays an important role in many real-life situations, helping us better understand and use it effectively."
unidentifiable,	正体 不明,"The concept of 'unidentifiable' plays an important role in many real-life situations, helping us better understand and use it effectively."
income,収入,"The concept of 'income' plays an important role in many real-life situations, helping us better understand and use it effectively."
incomes,	収入,We found several incomes.
indicate,示す,"The concept of 'indicate' plays an important role in many real-life situations, helping us better understand and use it effectively."
indicated,	示さ れた,I indicated the report.
indicates,	示す,We found several indicates.
indicating,	示す,They are indicating the results.
indication,	表示,"The concept of 'indication' plays an important role in many real-life situations, helping us better understand and use it effectively."
indications,	徴候,We found several indications.
indicative,	直説法,"The concept of 'indicative' plays an important role in many real-life situations, helping us better understand and use it effectively."
indicator,	インジケータ,She is an indicator.
indicators,	指標,We found several indicators.
individual,個体,"The concept of 'individual' plays an important role in many real-life situations, helping us better understand and use it effectively."
individualised,	個別化,I individualised the report.
individuality,	個性,"The concept of 'individuality' plays an important role in many real-life situations, helping us better understand and use it effectively."
individualism,	個人主義,"The concept of 'individualism' plays an important role in many real-life situations, helping us better understand and use it effectively."
individualist,	インディビジュアリスト,"The concept of 'individualist' plays an important role in many real-life situations, helping us better understand and use it effectively."
individualists,	個人主義者,We found several individualists.
individualistic,	個人,"The concept of 'individualistic' plays an important role in many real-life situations, helping us better understand and use it effectively."
individually,	個別的に,"The concept of 'individually' plays an important role in many real-life situations, helping us better understand and use it effectively."
individuals,	個人,We found several individuals.
interpret,解釈する,"The concept of 'interpret' plays an important role in many real-life situations, helping us better understand and use it effectively."
interpretation,	解釈,"The concept of 'interpretation' plays an important role in many real-life situations, helping us better understand and use it effectively."
interpretations,	解釈,We found several interpretations.
interpretative,	解釈,"The concept of 'interpretative' plays an important role in many real-life situations, helping us better understand and use it effectively."
interpreted,	解釈,I interpreted the report.
interpreting,	解釈,They are interpreting the results.
interpretive,	解釈,"The concept of 'interpretive' plays an important role in many real-life situations, helping us better understand and use it effectively."
interprets,	解釈,We found several interprets.
misinterpret,	誤解,"The concept of 'misinterpret' plays an important role in many real-life situations, helping us better understand and use it effectively."
misinterpretation,	誤解,"The concept of 'misinterpretation' plays an important role in many real-life situations, helping us better understand and use it effectively."
misinterpretations,	誤解,We found several misinterpretations.
misinterpreted,	誤って 解釈,I misinterpreted the report.
misinterpreting,	誤って 解釈,They are misinterpreting the results.
misinterprets,	誤解,We found several misinterprets.
reinterpret,	解釈,"The concept of 'reinterpret' plays an important role in many real-life situations, helping us better understand and use it effectively."
reinterpreted,	解釈,I reinterpreted the report.
reinterprets,	再,We found several reinterprets.
reinterpreting,	再,They are reinterpreting the results.
reinterpretation,	解釈,"The concept of 'reinterpretation' plays an important role in many real-life situations, helping us better understand and use it effectively."
reinterpretations,	再解釈,We found several reinterpretations.
involve,巻き込む,"The concept of 'involve' plays an important role in many real-life situations, helping us better understand and use it effectively."
involved,	複雑,I involved the report.
involvement,	関与,"The concept of 'involvement' plays an important role in many real-life situations, helping us better understand and use it effectively."
involves,	含む,We found several involves.
involving,	含む,They are involving the results.
uninvolved,	関与していない,I uninvolved the report.
issue,発行,"The concept of 'issue' plays an important role in many real-life situations, helping us better understand and use it effectively."
issued,	発行,I issued the report.
issues,	問題,We found several issues.
issuing,	発行,They are issuing the results.
labour,労働,"The concept of 'labour' plays an important role in many real-life situations, helping us better understand and use it effectively."
labor,	労働,She is an labor.
labored,	こじつけ,I labored the report.
labors,	労働,We found several labors.
laboured,	苦心,I laboured the report.
labouring,	労働,They are labouring the results.
labours,	労働,We found several labours.
legal,合法,"The concept of 'legal' plays an important role in many real-life situations, helping us better understand and use it effectively."
illegal,	違法,"The concept of 'illegal' plays an important role in many real-life situations, helping us better understand and use it effectively."
illegality,	違法,"The concept of 'illegality' plays an important role in many real-life situations, helping us better understand and use it effectively."
illegally,	違法に,"The concept of 'illegally' plays an important role in many real-life situations, helping us better understand and use it effectively."
legality,	合法,"The concept of 'legality' plays an important role in many real-life situations, helping us better understand and use it effectively."
legally,	法的,"The concept of 'legally' plays an important role in many real-life situations, helping us better understand and use it effectively."
legislate,制定する,"The concept of 'legislate' plays an important role in many real-life situations, helping us better understand and use it effectively."
legislated,	制定,I legislated the report.
legislates,	立法府,We found several legislates.
legislating,	立法,They are legislating the results.
legislation,	法制,"The concept of 'legislation' plays an important role in many real-life situations, helping us better understand and use it effectively."
legislative,	立法権,"The concept of 'legislative' plays an important role in many real-life situations, helping us better understand and use it effectively."
legislator,	立法者,She is an legislator.
legislators,	議員,We found several legislators.
legislature,	立法府,"The concept of 'legislature' plays an important role in many real-life situations, helping us better understand and use it effectively."
major,少佐,She is an major.
majorities,	大半,We found several majorities.
majority,	過半数,"The concept of 'majority' plays an important role in many real-life situations, helping us better understand and use it effectively."
method,方式,"The concept of 'method' plays an important role in many real-life situations, helping us better understand and use it effectively."
methodical,	几帳面,"The concept of 'methodical' plays an important role in many real-life situations, helping us better understand and use it effectively."
methodological,	方法論,"The concept of 'methodological' plays an important role in many real-life situations, helping us better understand and use it effectively."
methodologies,	方法,We found several methodologies.
methodology,	方法論,"The concept of 'methodology' plays an important role in many real-life situations, helping us better understand and use it effectively."
methods,	メソッド,We found several methods.
occur,起る,"The concept of 'occur' plays an important role in many real-life situations, helping us better understand and use it effectively."
occurred,	発生,I occurred the report.
occurrence,	発生,"The concept of 'occurrence' plays an important role in many real-life situations, helping us better understand and use it effectively."
occurrences,	発生,We found several occurrences.
occurring,	発生,They are occurring the results.
occurs,	発生,We found several occurs.
reoccur,	再発,"The concept of 'reoccur' plays an important role in many real-life situations, helping us better understand and use it effectively."
reoccurred,	再発,I reoccurred the report.
reoccurring,	再発,They are reoccurring the results.
reoccurs,	再発,We found several reoccurs.
percent,パーセント,"The concept of 'percent' plays an important role in many real-life situations, helping us better understand and use it effectively."
percentage,	百分率,"The concept of 'percentage' plays an important role in many real-life situations, helping us better understand and use it effectively."
percentages,	割合,We found several percentages.
period,時代,"The concept of 'period' plays an important role in many real-life situations, helping us better understand and use it effectively."
periodic,	周期的,"The concept of 'periodic' plays an important role in many real-life situations, helping us better understand and use it effectively."
periodical,	定期刊行物,"The concept of 'periodical' plays an important role in many real-life situations, helping us better understand and use it effectively."
periodically,	定期的,"The concept of 'periodically' plays an important role in many real-life situations, helping us better understand and use it effectively."
periodicals,	雑誌,We found several periodicals.
periods,	期間,We found several periods.
policy,政策,"The concept of 'policy' plays an important role in many real-life situations, helping us better understand and use it effectively."
policies,	檄,We found several policies.
principle,原理,"The concept of 'principle' plays an important role in many real-life situations, helping us better understand and use it effectively."
principled,	原則,I principled the report.
principles,	原則,We found several principles.
unprincipled,	無節操,I unprincipled the report.
proceed,進む,I proceed the report.
procedural,	手続き型,"The concept of 'procedural' plays an important role in many real-life situations, helping us better understand and use it effectively."
procedure,	プロシージャ,"The concept of 'procedure' plays an important role in many real-life situations, helping us better understand and use it effectively."
procedures,	手続き,We found several procedures.
proceeded,	進んだ,I proceeded the report.
proceeding,	行程,They are proceeding the results.
proceedings,	議事,We found several proceedings.
proceeds,	収益,We found several proceeds.
process,過程,"The concept of 'process' plays an important role in many real-life situations, helping us better understand and use it effectively."
processed,	処理,I processed the report.
processes,	プロセス,We found several processes.
processing,	加工,They are processing the results.
require,要する,"The concept of 'require' plays an important role in many real-life situations, helping us better understand and use it effectively."
required,	必須,I required the report.
requirement,	要件,"The concept of 'requirement' plays an important role in many real-life situations, helping us better understand and use it effectively."
requirements,	必要条件,We found several requirements.
requires,	必要,We found several requires.
requiring,	必要,They are requiring the results.
research,研究,"The concept of 'research' plays an important role in many real-life situations, helping us better understand and use it effectively."
researched,	研究,I researched the report.
researcher,	研究員,She is an researcher.
researchers,	研究,We found several researchers.
researches,	研究,We found several researches.
researching,	研究,They are researching the results.
respond,応じる,"The concept of 'respond' plays an important role in many real-life situations, helping us better understand and use it effectively."
responded,	答えた,I responded the report.
respondent,	回答者,"The concept of 'respondent' plays an important role in many real-life situations, helping us better understand and use it effectively."
respondents,	回答,We found several respondents.
responding,	応答,They are responding the results.
responds,	応答,We found several responds.
response,	応答,"The concept of 'response' plays an important role in many real-life situations, helping us better understand and use it effectively."
responses,	応答,We found several responses.
responsive,	応答,"The concept of 'responsive' plays an important role in many real-life situations, helping us better understand and use it effectively."
responsiveness,	応答,"The concept of 'responsiveness' plays an important role in many real-life situations, helping us better understand and use it effectively."
unresponsive,	応答,"The concept of 'unresponsive' plays an important role in many real-life situations, helping us better understand and use it effectively."
role,役割,"The concept of 'role' plays an important role in many real-life situations, helping us better understand and use it effectively."
roles,	役割,We found several roles.
section,節,"The concept of 'section' plays an important role in many real-life situations, helping us better understand and use it effectively."
sectioned,	断面,I sectioned the report.
sectioning,	セクショニング,They are sectioning the results.
sections,	セクション,We found several sections.
sector,セクター,She is an sector.
sectors,	セクター,We found several sectors.
significant,重要な,"The concept of 'significant' plays an important role in many real-life situations, helping us better understand and use it effectively."
insignificant,	名も無い,"The concept of 'insignificant' plays an important role in many real-life situations, helping us better understand and use it effectively."
insignificantly,	取るに足らない,"The concept of 'insignificantly' plays an important role in many real-life situations, helping us better understand and use it effectively."
significance,	 意味,"The concept of 'significance' plays an important role in many real-life situations, helping us better understand and use it effectively."
significantly,	著しく,"The concept of 'significantly' plays an important role in many real-life situations, helping us better understand and use it effectively."
signified,	シニフィエ,I signified the report.
signifies,	意味,We found several signifies.
signify,	表す,"The concept of 'signify' plays an important role in many real-life situations, helping us better understand and use it effectively."
signifying,	意味,They are signifying the results.
similar,同じような,"The concept of 'similar' plays an important role in many real-life situations, helping us better understand and use it effectively."
dissimilar,	異種,"The concept of 'dissimilar' plays an important role in many real-life situations, helping us better understand and use it effectively."
similarities,	類似 点,We found several similarities.
similarity,	相似,"The concept of 'similarity' plays an important role in many real-life situations, helping us better understand and use it effectively."
similarly,	同じように,"The concept of 'similarly' plays an important role in many real-life situations, helping us better understand and use it effectively."
source,源,"The concept of 'source' plays an important role in many real-life situations, helping us better understand and use it effectively."
sourced,	出典,I sourced the report.
sources,	ソース,We found several sources.
sourcing,	ソーシング,They are sourcing the results.
specific,特定,"The concept of 'specific' plays an important role in many real-life situations, helping us better understand and use it effectively."
specifically,	具体的には,"The concept of 'specifically' plays an important role in many real-life situations, helping us better understand and use it effectively."
specification,	仕様,"The concept of 'specification' plays an important role in many real-life situations, helping us better understand and use it effectively."
specifications,	仕様,We found several specifications.
specificity,	特異 性,"The concept of 'specificity' plays an important role in many real-life situations, helping us better understand and use it effectively."
specifics,	詳細,We found several specifics.
structure,構造,"The concept of 'structure' plays an important role in many real-life situations, helping us better understand and use it effectively."
restructure,	再 構築,"The concept of 'restructure' plays an important role in many real-life situations, helping us better understand and use it effectively."
restructured,	再 構築,I restructured the report.
restructures,	再 構築,We found several restructures.
restructuring,	再 構築,They are restructuring the results.
structural,	構造,"The concept of 'structural' plays an important role in many real-life situations, helping us better understand and use it effectively."
structurally,	構造,"The concept of 'structurally' plays an important role in many real-life situations, helping us better understand and use it effectively."
structured,	構造,I structured the report.
structures,	構造,We found several structures.
structuring,	構造,They are structuring the results.
unstructured,	非構造化,I unstructured the report.
theory,理論,"The concept of 'theory' plays an important role in many real-life situations, helping us better understand and use it effectively."
theoretical,	理論,"The concept of 'theoretical' plays an important role in many real-life situations, helping us better understand and use it effectively."
theoretically,	理論上,"The concept of 'theoretically' plays an important role in many real-life situations, helping us better understand and use it effectively."
theories,	理論,We found several theories.
theorist,	理論家,"The concept of 'theorist' plays an important role in many real-life situations, helping us better understand and use it effectively."
theorists,	理論,We found several theorists.
vary,異なる,"The concept of 'vary' plays an important role in many real-life situations, helping us better understand and use it effectively."
invariable,	不変,"The concept of 'invariable' plays an important role in many real-life situations, helping us better understand and use it effectively."
invariably,	常に,"The concept of 'invariably' plays an important role in many real-life situations, helping us better understand and use it effectively."
variability,	可変,"The concept of 'variability' plays an important role in many real-life situations, helping us better understand and use it effectively."
variable,	変数,"The concept of 'variable' plays an important role in many real-life situations, helping us better understand and use it effectively."
variables,	変数,We found several variables.
variably,	常,"The concept of 'variably' plays an important role in many real-life situations, helping us better understand and use it effectively."
variance,	分散,"The concept of 'variance' plays an important role in many real-life situations, helping us better understand and use it effectively."
variant,	バリアント,"The concept of 'variant' plays an important role in many real-life situations, helping us better understand and use it effectively."
variants,	バリアント,We found several variants.
variation,	バリエーション,"The concept of 'variation' plays an important role in many real-life situations, helping us better understand and use it effectively."
variations,	バリエーション,We found several variations.
varied,	変化,I varied the report.
varies,	異なります,We found several varies.
varying,	変化,They are varying the results.
Sublist 2 of the Academic Word List,,"The concept of 'Sublist 2 of the Academic Word List' plays an important role in many real-life situations, helping us better understand and use it effectively."
achieve,,"The concept of 'achieve' plays an important role in many real-life situations, helping us better understand and use it effectively."
achievable,,"The concept of 'achievable' plays an important role in many real-life situations, helping us better understand and use it effectively."
achieved,,I achieved the report.
achievement,,"The concept of 'achievement' plays an important role in many real-life situations, helping us better understand and use it effectively."
achievements,アカデミックワードリストのサブリスト2,We found several achievements.
achieves,,We found several achieves.
achieving,,They are achieving the results.
acquire,達成する,"The concept of 'acquire' plays an important role in many real-life situations, helping us better understand and use it effectively."
acquired,	達成,I acquired the report.
acquires,	達成,We found several acquires.
acquiring,	達成,They are acquiring the results.
acquisition,	実績,"The concept of 'acquisition' plays an important role in many real-life situations, helping us better understand and use it effectively."
acquisitions,	実現,We found several acquisitions.
administrate,	達成,"The concept of 'administrate' plays an important role in many real-life situations, helping us better understand and use it effectively."
